surgery,age,rectal_temperature,pulse,respiratory_rate,extremities_temp,pain,outcome
2.0,1,38.5,66.0,28.0,3.0,5.0,2.0
1.0,1,39.2,88.0,20.0,3.0,3.0,3.0
2.0,1,38.3,40.0,24.0,1.0,3.0,1.0
1.0,9,39.1,164.0,84.0,4.0,2.0,2.0
2.0,1,37.3,104.0,35.0,3.0,3.0,2.0
2.0,1,38.2,64.0,24.5,2.0,2.0,1.0
1.0,1,37.9,48.0,16.0,1.0,3.0,1.0
1.0,1,38.2,60.0,24.5,3.0,3.0,2.0
2.0,1,38.2,80.0,36.0,3.0,4.0,3.0
2.0,9,38.3,90.0,24.5,1.0,5.0,1.0
1.0,1,38.1,66.0,12.0,3.0,3.0,1.0
2.0,1,39.1,72.0,52.0,2.0,2.0,1.0
1.0,1,37.2,42.0,12.0,2.0,3.0,1.0
2.0,9,38.0,92.0,28.0,1.0,1.0,2.0
1.0,1,38.2,76.0,28.0,3.0,3.0,1.0
1.0,1,37.6,96.0,48.0,3.0,5.0,2.0
1.0,9,38.2,128.0,36.0,3.0,4.0,2.0
2.0,1,37.5,48.0,24.0,3.0,3.0,1.0
1.0,1,37.6,64.0,21.0,1.0,2.0,1.0
2.0,1,39.4,110.0,35.0,4.0,3.0,1.0
1.0,1,39.9,72.0,60.0,1.0,5.0,1.0
2.0,1,38.4,48.0,16.0,1.0,1.0,1.0
1.0,1,38.6,42.0,34.0,2.0,2.0,1.0
1.0,9,38.3,130.0,60.0,3.0,2.0,1.0
1.0,1,38.1,60.0,12.0,3.0,3.0,1.0
2.0,1,37.8,60.0,42.0,3.0,3.0,1.0
1.0,1,38.3,72.0,30.0,4.0,3.0,1.0
1.0,1,37.8,48.0,12.0,3.0,3.0,1.0
1.0,1,38.2,64.0,24.5,3.0,3.0,2.0
2.0,1,37.7,48.0,24.5,2.0,1.0,1.0
2.0,1,37.7,96.0,30.0,3.0,5.0,2.0
2.0,1,37.2,108.0,12.0,3.0,2.0,3.0
1.0,1,37.2,60.0,24.5,2.0,3.0,1.0
1.0,1,38.2,64.0,28.0,1.0,3.0,1.0
1.0,1,38.2,100.0,30.0,3.0,5.0,1.0
2.0,1,38.2,104.0,24.0,4.0,4.0,3.0
2.0,1,38.3,112.0,16.0,3.0,3.0,3.0
1.0,1,37.8,72.0,24.5,3.0,5.0,1.0
2.0,1,38.6,52.0,24.5,1.0,3.0,1.0
1.0,9,39.2,146.0,96.0,3.0,3.0,2.0
1.0,1,38.2,88.0,24.5,3.0,5.0,2.0
2.0,9,39.0,150.0,72.0,3.0,3.0,1.0
2.0,1,38.0,60.0,12.0,3.0,3.0,1.0
1.0,1,38.2,120.0,24.5,3.0,4.0,3.0
1.0,1,35.4,140.0,24.0,3.0,4.0,3.0
2.0,1,38.2,120.0,24.5,4.0,5.0,2.0
1.0,1,37.9,60.0,15.0,3.0,5.0,1.0
2.0,1,37.5,48.0,16.0,1.0,1.0,1.0
1.0,1,38.9,80.0,44.0,3.0,2.0,2.0
2.0,1,37.2,84.0,48.0,3.0,4.0,2.0
2.0,1,38.6,46.0,24.5,1.0,1.0,1.0
1.0,1,37.4,84.0,36.0,1.0,3.0,2.0
2.0,1,38.2,64.0,24.5,1.0,1.0,1.0
2.0,1,38.6,40.0,20.0,3.0,3.0,1.0
2.0,1,40.3,114.0,36.0,3.0,2.0,3.0
1.0,9,38.6,160.0,20.0,3.0,3.0,2.0
1.0,1,38.2,64.0,24.5,3.0,3.0,1.0
1.0,1,38.2,64.0,36.0,2.0,5.0,2.0
1.0,1,38.2,64.0,20.0,4.0,5.0,2.0
2.0,1,38.2,96.0,24.5,3.0,5.0,2.0
2.0,1,37.8,48.0,32.0,1.0,2.0,1.0
2.0,1,38.5,60.0,24.5,2.0,1.0,1.0
1.0,1,37.8,88.0,22.0,2.0,3.0,2.0
2.0,1,38.2,130.0,16.0,4.0,2.0,3.0
1.0,1,39.0,64.0,36.0,3.0,3.0,1.0
1.0,1,38.2,60.0,36.0,3.0,3.0,1.0
2.0,1,37.9,72.0,24.5,1.0,3.0,1.0
2.0,1,38.4,54.0,24.0,1.0,1.0,1.0
2.0,1,38.2,52.0,16.0,1.0,3.0,1.0
2.0,1,38.0,48.0,12.0,1.0,1.0,1.0
2.0,1,37.0,60.0,20.0,3.0,3.0,3.0
1.0,1,37.8,48.0,28.0,1.0,1.0,1.0
1.0,1,37.7,56.0,24.5,3.0,3.0,2.0
1.0,1,38.1,52.0,24.0,1.0,4.0,2.0
1.0,9,38.2,64.0,24.5,3.0,3.0,2.0
1.0,9,39.7,100.0,24.5,3.0,2.0,3.0
1.0,1,37.6,38.0,20.0,3.0,3.0,1.0
2.0,1,38.7,52.0,20.0,2.0,1.0,1.0
1.0,1,38.2,64.0,24.5,3.0,5.0,2.0
1.0,1,37.5,96.0,18.0,1.0,3.0,1.0
